"portal","kandydat","data","nr","czy.w.tytule","dlugosc.art","ile.razy","ile.razy.wzg","waga"
"NaTematGlowna","kukiz","2015-04-03 00:00:00",2,TRUE,4430,2,0.000451467268623025,2
"NaTematGlowna","kukiz","2015-04-04 00:00:00",1,TRUE,1640,8,0.0048780487804878,2
"NaTematGlowna","kukiz","2015-04-04 00:00:00",2,TRUE,4430,2,0.000451467268623025,2
"NaTematGlowna","kukiz","2015-04-05 00:00:00",1,TRUE,2091,10,0.00478240076518412,2
"NaTematGlowna","ogorek","2015-03-15 00:00:00",1,FALSE,2751,1,0.000363504180298073,2
"NaTematGlowna","ogorek","2015-03-15 00:00:00",2,TRUE,2407,10,0.00415454923140839,2
"NaTematGlowna","ogorek","2015-03-15 00:00:00",3,FALSE,2521,2,0.000793335977786593,2
"NaTematGlowna","ogorek","2015-03-21 00:00:00",1,FALSE,1466,1,0.000682128240109141,2
"NaTematGlowna","ogorek","2015-03-22 00:00:00",1,FALSE,1466,1,0.000682128240109141,2
"NaTematGlowna","ogorek","2015-03-24 00:00:00",1,FALSE,2510,1,0.000398406374501992,2
"NaTematGlowna","ogorek","2015-03-26 00:00:00",1,FALSE,1749,2,0.00114351057747284,2
"NaTematGlowna","ogorek","2015-03-26 00:00:00",2,FALSE,1468,2,0.00136239782016349,2
"NaTematGlowna","palikot","2015-03-15 00:00:00",1,FALSE,2521,1,0.000396667988893296,2
"NaTematGlowna","palikot","2015-03-15 00:00:00",2,FALSE,5280,1,0.000189393939393939,2
"NaTematGlowna","palikot","2015-03-21 00:00:00",1,FALSE,1466,1,0.000682128240109141,2
"NaTematGlowna","palikot","2015-03-21 00:00:00",2,TRUE,2115,10,0.00472813238770686,2
"NaTematGlowna","palikot","2015-03-22 00:00:00",1,FALSE,1466,1,0.000682128240109141,2
"NaTematGlowna","palikot","2015-03-22 00:00:00",2,TRUE,2115,10,0.00472813238770686,2
"NaTematGlowna","palikot","2015-03-28 00:00:00",1,TRUE,4646,11,0.00236762806715454,2
"NaTematGlowna","palikot","2015-04-02 00:00:00",1,TRUE,2605,10,0.00383877159309021,2
"NaTematGlowna","palikot","2015-04-03 00:00:00",1,TRUE,5163,2,0.000387371683129963,2
"NaTematGlowna","palikot","2015-04-03 00:00:00",2,FALSE,4430,2,0.000451467268623025,2
"NaTematGlowna","palikot","2015-04-04 00:00:00",1,TRUE,5163,2,0.000387371683129963,2
"NaTematGlowna","palikot","2015-04-04 00:00:00",2,FALSE,4430,2,0.000451467268623025,2
"NaTematWybory","braun","2015-03-31 00:00:00",1,FALSE,1811,1,0.000552181115405853,2
"NaTematWybory","braun","2015-04-05 00:00:00",1,FALSE,7066,1,0.000141522785168412,2
"NaTematWybory","braun","2015-04-05 00:00:00",2,FALSE,4908,3,0.000611246943765281,2
"NaTematWybory","braun","2015-04-05 00:00:00",3,FALSE,1811,1,0.000552181115405853,2
"NaTematWybory","duda","2015-03-15 00:00:00",1,FALSE,1740,3,0.00172413793103448,2
"NaTematWybory","duda","2015-03-15 00:00:00",2,TRUE,2858,10,0.00349895031490553,2
"NaTematWybory","duda","2015-03-15 00:00:00",3,FALSE,5021,1,0.000199163513244374,2
"NaTematWybory","duda","2015-03-15 00:00:00",4,TRUE,2146,4,0.00186393289841566,2
"NaTematWybory","duda","2015-03-15 00:00:00",5,TRUE,6851,3,0.000437892278499489,2
"NaTematWybory","duda","2015-03-15 00:00:00",6,TRUE,1741,7,0.00402067777139575,2
"NaTematWybory","duda","2015-03-15 00:00:00",7,TRUE,3087,4,0.00129575639779721,2
"NaTematWybory","duda","2015-03-15 00:00:00",8,FALSE,1826,2,0.00109529025191676,2
"NaTematWybory","duda","2015-03-15 00:00:00",9,FALSE,2347,6,0.00255645504899872,2
"NaTematWybory","duda","2015-03-15 00:00:00",10,FALSE,1876,2,0.00106609808102345,2
"NaTematWybory","duda","2015-03-15 00:00:00",11,FALSE,4989,7,0.00140308679094007,2
"NaTematWybory","duda","2015-03-15 00:00:00",12,FALSE,2167,1,0.000461467466543609,2
"NaTematWybory","duda","2015-03-15 00:00:00",13,FALSE,5087,16,0.00314527226263023,2
"NaTematWybory","duda","2015-03-15 00:00:00",14,FALSE,2352,1,0.000425170068027211,2
"NaTematWybory","duda","2015-03-15 00:00:00",15,FALSE,467,1,0.00214132762312634,2
"NaTematWybory","duda","2015-03-15 00:00:00",16,TRUE,2195,4,0.00182232346241458,2
"NaTematWybory","duda","2015-03-15 00:00:00",17,TRUE,1697,3,0.00176782557454331,2
"NaTematWybory","duda","2015-03-15 00:00:00",18,TRUE,1899,6,0.00315955766192733,2
"NaTematWybory","duda","2015-03-15 00:00:00",19,FALSE,2584,1,0.000386996904024768,2
"NaTematWybory","duda","2015-03-15 00:00:00",20,FALSE,5746,2,0.000348068221371389,2
"NaTematWybory","duda","2015-03-15 00:00:00",21,FALSE,2274,1,0.000439753737906772,2
"NaTematWybory","duda","2015-03-15 00:00:00",22,FALSE,5221,3,0.000574602566558131,2
"NaTematWybory","duda","2015-03-15 00:00:00",23,TRUE,1532,7,0.00456919060052219,2
"NaTematWybory","duda","2015-03-15 00:00:00",24,FALSE,5883,8,0.00135985041645419,2
"NaTematWybory","duda","2015-03-15 00:00:00",25,FALSE,6877,1,0.00014541224371092,2
"NaTematWybory","duda","2015-03-15 00:00:00",26,FALSE,13939,1,7.17411579022885e-05,2
"NaTematWybory","duda","2015-03-16 00:00:00",1,FALSE,5405,8,0.00148011100832562,2
"NaTematWybory","duda","2015-03-16 00:00:00",2,FALSE,5713,4,0.000700157535445475,2
"NaTematWybory","duda","2015-03-16 00:00:00",3,TRUE,2751,7,0.00254452926208651,2
"NaTematWybory","duda","2015-03-16 00:00:00",4,TRUE,2338,8,0.00342172797262618,2
"NaTematWybory","duda","2015-03-16 00:00:00",5,FALSE,2498,2,0.000800640512409928,2
"NaTematWybory","duda","2015-03-16 00:00:00",6,TRUE,2521,5,0.00198333994446648,2
"NaTematWybory","duda","2015-03-21 00:00:00",1,FALSE,5405,8,0.00148011100832562,2
"NaTematWybory","duda","2015-03-21 00:00:00",2,FALSE,5713,4,0.000700157535445475,2
"NaTematWybory","duda","2015-03-21 00:00:00",3,TRUE,2751,7,0.00254452926208651,2
"NaTematWybory","duda","2015-03-21 00:00:00",4,TRUE,2338,8,0.00342172797262618,2
"NaTematWybory","duda","2015-03-21 00:00:00",5,FALSE,2498,2,0.000800640512409928,2
"NaTematWybory","duda","2015-03-21 00:00:00",6,TRUE,2521,5,0.00198333994446648,2
"NaTematWybory","duda","2015-03-24 00:00:00",1,TRUE,3259,7,0.0021478981282602,2
"NaTematWybory","duda","2015-03-24 00:00:00",2,TRUE,1696,5,0.00294811320754717,2
